index,category_name,category_id,question,answer,choice,additional
53,Hidden Words,CV2,BANKIHFALHANDOGIVQBOATGDWYOPASS,BANK;;HANK;;BOAT;;PASS,,
54,Hidden Words,CV2,IGHRISEPUQUOIVICEAUNTXTALAXTHAT,RISE;;VICE;;AUNT;;THAT,,
55,Hidden Words,CV2,IFKZONEXKIMYOLKHSYTVBQHERLOSTHG,ZONE;;YOLK;;LOST,,
56,Hidden Words,CV2,VTSOTLATEHDNILASTTXZAPLGNIORTEZ,LATE;;LAST,,
57,Hidden Words,CV2,VNEXTQNIBCJAHWEVENWAKYOXPULLCTL,NEXT;;EVEN;;PULL,,
58,Hidden Words,CV2,BICZIGRUSOMELEBJCSUTBTHINKDARHI,SOME;;THIN,,
59,Hidden Words,CV2,TCYQNIYSMGONEYICUTELOHAEOYKNIZA,GONE;;CUTE,,
60,Hidden Words,CV2,RBCILIWENTCTGEHFTHARDGZIBYWPINK,WENT;;HARD;;PINK,,
61,Hidden Words,CV2,IHNOSEBQPLOTROPEPYUJEMWGIRLMTTZ,NOSE;;PLOT;;ROPE;;GIRL,,
62,Hidden Words,CV2,ASEBULLEGBULBGUSNOWLIVEDNOSEUHJ,BULL;;BULB;;SNOW;;LIVE;;NOSE,,
63,Hidden Words,CV2,RPOTYULOVEABWPFLEWEQIULJLMDDAZD,LOVE;;FLEW,,
64,Hidden Words,CV2,PARTDYZUHLNSERTHORNILOWORKQIEGS,PART;;HORN;;WORK,,
65,Hidden Words,CV2,FHOEKDOWNRPTUYBEMSTINXWBEVENUIV,DOWN;;EVEN,,
66,Hidden Words,CV2,PLAYICWKNMELHEATEZURISESOKJECXA,PLAY;;HEAT;;RISE,,
67,Hidden Words,CV2,DEHJIOIRTIHTVASRVQCASOLOTQUAJWB,SOLO,,
68,Hidden Words,CV2,POORHPYXZRQUIZUTOWNTMAKEESZNAVY,POOR;;QUIZ;;TOWN;;MAKE;;NAVY,,
69,Hidden Words,CV2,OWTHQOWEXVGBEGTHATDODTYURDIDNRO,THAT,,
70,Hidden Words,CV2,SZOWTHQOWEXVGBEGWHATDODTYURDIDN,WHAT,,
71,Hidden Words,CV2,ROFOURTSESXERGSXOTKNEEIBRLUTOBR,FOUR;;KNEE,,
72,Hidden Words,CV2,AUEKITFEPHEATULMLUFKLOUDNHCTROT,HEAT;;LOUD;;TROT,,
73,Hidden Words,CV2,DGJCAHWULMICSJWESTZSABESTKIWCAK,WEST;;BEST,,
74,Hidden Words,CV2,EDGEIWRBERUWPUSHQLTYZSHOPZATIQV,EDGE;;PUSH;;SHOP,,
75,Hidden Words,CV2,EKJTHEYEACHLHASOMEPLOTIDVAUOTXL,THEY;;EACH;;SOME;;PLOT,,
76,Hidden Words,CV2,RLFOOTNEXTEFKSARHOJENLESOUPHELP,FOOT;;NEXT;;SOUP;;HELP,,
77,Hidden Words,CV2,VKOICBULACKHPMYXRYOFLEWSACXTAXI,LACK;;FLEW;;TAXI,,
78,Hidden Words,CV2,RMOREGCALFLIBRMOKJUYHAVEIRZWAVE,MORE;;CALF;;HAVE;;WAVE,,
79,Hidden Words,CV2,COMESUYNITPARTKEHOWIQPSMEPIROEP,COME;;PART,,
80,Hidden Words,CV2,PWLNHANREWIDHATEOWQULDIMEIKSOKR,HATE;;DIME,,
81,Hidden Words,CV2,OPONDNDIUDSLOWMICJALSOKTWINIKNY,POND;;SLOW;;ALSO;;TWIN,,
82,Hidden Words,CV2,ESECUHIDEUVAHILAUBANKTREAIDISHT,HIDE;;BANK;;DISH,,
83,Hidden Words,CV2,DANTIRSGLTOTMEDJQUORPOCARDOVPYO,ANTI;;CARD,,
84,Hidden Words,CV2,RVEPMOYRNTOOKVSORDCBAJTZEWCEGXE,TOOK,,
85,Hidden Words,CV2,CALLESMOKPTHEYSIRKOICOATOFAXRAK,CALL;;THEY;;COAT,,
86,Hidden Words,CV2,OGIRLECVIOQUPGHICALLXOYKAEVILWX,GIRL;;CALL;;EVIL,,
87,Hidden Words,CV2,NRYOUREVROMPVOWOLFESALTTMGRINWM,YOUR;;ROMP;;WOLF;;SALT;;GRIN,,
88,Hidden Words,CV2,EJUYPQDOKTOLPQZDYHIGHKEPHFSGEIQ,HIGH,,
89,Hidden Words,CV2,MOSTOLICOSTLQUWOPAIRKOMLAROSKEV,MOST;;COST;;PAIR,,
90,Incomplete Words,CV3,_tam_,stamp,,
91,Incomplete Words,CV3,_qual_t_,equality,,
92,Incomplete Words,CV3,_rith__tic,arithmetic,,
93,Incomplete Words,CV3,_ir__ane,airplane,,
94,Incomplete Words,CV3,_rogra_,program,,
95,Incomplete Words,CV3,_ib__ty,liberty,,
96,Incomplete Words,CV3,_uit_ase,suitcase,,
97,Incomplete Words,CV3,_le__ant,pleasant;;elephant,,
98,Incomplete Words,CV3,_er_on__ity,personality,,
99,Incomplete Words,CV3,_dmin_st__tion,administration,,
100,Incomplete Words,CV3,_olle_e,college,,
101,Incomplete Words,CV3,_and_erchi__,handkerchief,,
102,Incomplete Words,CV3,_ene_it,benefit,,
103,Incomplete Words,CV3,_nc_clo_edia,encyclopedia,,
104,Incomplete Words,CV3,_ib_ary,library,,
105,Incomplete Words,CV3,_el_ful,helpful,,
106,Incomplete Words,CV3,_tt_tud_,attitude,,
107,Incomplete Words,CV3,_ar_a_e,garbage;;barrage,,
108,Incomplete Words,CV3,_du__tion,education,,
109,Incomplete Words,CV3,_of_ee,coffee,,
110,Incomplete Words,CV3,_ea__er,teacher;;leather;;heather;;learner;;yearner,,
111,Incomplete Words,CV3,_ub_ar__e,submarine,,
112,Incomplete Words,CV3,_is_o__tion,disposition;;dissolution,,
113,Incomplete Words,CV3,_ria__le,triangle,,
114,Incomplete Words,CV3,_ol_ntee_,volunteer,,
115,Incomplete Words,CV3,_lash_i_ht,flashlight,,
116,Incomplete Words,CV3,_oor_a_,doorway;;doorman,,
117,Incomplete Words,CV3,_ol__ay,holiday,,
118,Incomplete Words,CV3,_hoi_e,choice,,
119,Incomplete Words,CV3,_emo_y,memory,,
120,Incomplete Words,CV3,_er_or_ance,performance,,
121,Incomplete Words,CV3,_eha_ior,behavior,,
122,Incomplete Words,CV3,_ta_ue,statue,,
123,Incomplete Words,CV3,_tu_ent,student,,
124,Incomplete Words,CV3,_edu__ion,reduction;;deduction;;seduction,,
125,Incomplete Words,CV3,_ech__que,technique,,
126,Controlled Association Test,FA1,clear,absolute;;acquit;;audible;;bright;;certain;;cloudless;;complete;;diaphanous;;distinct;;empty;;explicit;;free;;graphic;;incisive;;innocent;;light;;limpid;;liquid;;logical;;1ucid;;luminous;;net;;obvious;;open;;orderly;;pass;;pellucid;;perceptive;;perspicuous;;plain;;positive;;remove;;resonant;;rid;;ringing;;sheer;;translucent;;transparent;;trenchant;;unambiguous;;unload;;unmistakable,,
127,Controlled Association Test,FA1,dark,abstruse;;ambiguous;;brunet;;cryptic;;darkling;;dim;;dismal;;dusk;;dusky;;enigmatic;;equivocal;;evil;;gloomy;;hidden;;ignorant;;lightless;;murky;;night;;obscure;;opaque;;secrecy;;shade;;sinister;;unenlightened;;uninformed;;vague,,
128,Controlled Association Test,FA1,strong,ardent;;clear;;cogent;;decided;;distinct;;drastic;;durable;;energetic;;firm;;forceful;;greatly;;hale;;healthy;;hearty;;intense;;lusty;;marked;;passionate;;persuasive;;potent;;powerful;;pronounced;;rank;;robust;;severely;;sound;;stalwart;;stout;;sturdy;;tenacious;;tough;;vehement;;vigorous，warm;;zealous,,
129,Controlled Association Test,FA1,wild,angry;;confusion;;crazed;;desolate;;disorderly;;dissipated;;eager;;enthusiastic;;immoral;;imprudent;;primitive;;reckless;;savage;;stormy;;turbulent;;unbridled;;uncivilized;;uninhibited;;untilled;;vexed;;visionary;;waste,,
130,Controlled Association Test,FA1,company,association;;band;;battery;;circle;;clique;;club;;companion;;coterie;;crew;;crowd;;flight;;group;;guest;;horde;;mob;;order;;partners;;party;;set;;society;;throng;;troop;;troupe;;visitor,,
131,Controlled Association Test,FA1,sharp,abrupt;;acute;;artful;;attentive;;beautiful;;biting;;brilliant;;brisk;;caustic;;clear;;clever;;cold;;crafty;;cunning;;cutting;;designing;;distinct;;exactly;;expert;;handsome;;impetuous;;incisive;;intense;;keen;;mordant;;peaked;;penetrating;;piercing;;precisely;;probing;;promptly;;pungent;;quick;;scathing;;severe;;shrewd;;shrill;;sly;;strong;;trenchant;;tricky;;uderhanded;;vigorous;;voiceless;;wily,,
132,Controlled Association Test,FA1,tell,acquaint;;announce;;appraise;;assure;;betray;;bewray;;command;;communicate;;count;;decide;;direct;;disclose;;discover;;discriminate;;distinguish;;divulge;;enumerate;;impart;;inform;;know;;narrate;;number;;order;;publish;;recognize;;recount;;rehearse;;relate;;report;;request;;reveal;;say;;utter,,
133,Controlled Association Test,FA1,turn,act;;affect;;aim;;apply;;aptitude;;avert;;become;;bend;;bent;;blunt;;bout;;change;;circle;;convert;;convolution;;curve;;deflect;;dement;;derange;;deviate;;direct;;distract;;divert;;drive;;eddy;;employ;;fit;;fold;;gift;;go;;gyrate;;invert;;pass;;pirouette;;pivot;;point;;ponder;;prejudice;;reach;;rebound;;recoil;;reel;;refer;;repel;;resort;;revolve;;rotate;;set;;sheer;;shift;;spin;;spell;;subject;;swirl;;talent;;tendency;;tour;;translate;;trend;;twirl;;twist;;upset;;walk;;wheel;;whirl,,
134,Opposites Test,FA2,CALM,agitated;;angry;;anxious;;busy;;convulsed;;discomposed;;disturbed;;excited;;frantic;;frenzied;;irritable;;itchy;;jumpy;;nervous;;noisy;;perturbed;;restless;;rocked;;rough;;seething;;shaken;;stormy;;tense;;unease;;untamed;;upset;;up-tight，wild,,
135,Opposites Test,FA2,WRONG,acceptable;;accurate;;alright;;appropriate;;correct;;exact;;fair;;fit;;good;;legal;;moral;;o.k.;;perfect;;precise;;proper;;right;;suitable,,
136,Opposites Test,FA2,FAIR,biased;;cheating;;crafty;;fool;;ill-favored;;inequitable;;intolerant;;partial;;prejudice;;prepossess;;sly;;swindletricky;;unfair;;ugly;;unjust;;unscrupulous,,
137,Opposites Test,FA2,AWKWARD,adept;;adroit;;agile;;balanced;;coordinated;;deft;;dexterous;;easy;;effortless;;facile;;graceful;;handy;;proficient;;simple;;skillful;;smooth;;stumbling,,
138,Opposites Test,FA2,LOYAL,faithless;;false;;perfidious;;treacherous,,
139,Opposites Test,FA2,FEARFUL,bold;;brave;;courageous;;enduring;;fearless;;gallant;;heroic;;resolute;;valorous,,
140,Opposites Test,FA2,GENTLE,barbarous;;bluff;;boisterous;;boorish;;brutish;;churlish;;clownish;;coarse;;gross;;harsh;;ill-mannered;;rough;;rude;;stormy;;uncouth;;uncultured;;unpolished;;vulgar;;wild,,
141,Opposites Test,FA2,UGLY,appealing;;attractive;;beautiful;;blooming;;captivating;;charming;;comely;;dainty;;dazzling;;delicate;;elegant;;fair;;fascinating;;gorgeous;;graceful;;grand;;handsome;;lovely;;neat;;nice;;pretty;;radiant;;refined;;sleek;;splendid;;trim,,
142,Figures Of Speech,FA3,The pans were shiny as:,"<LLMEval>Acceptable answers include any object or material which might reflect or emit light, e.g., gold, silver, polished chrome or brass,the sun,freshly washed crystal, reflections off a mirror, a dime, a lake, a new car, etc.",,
143,Figures Of Speech,FA3,The car went as fast as:,"<LLMEval>Acceptable answers include any object or animal which moves rapidly, e.g., a rocket, a comet, a flash, a bullet, lightening, sound, a jet, a cheetah, the wind, a streak, an arrow, etc. Do not credit slow moving objects or animals(e.g.,aturtle).",,
144,Figures Of Speech,FA3,The sky looked like:,"<LLMEval>Acceptable answers include anything that is typically blue, gray, black, (perhaps other colors) anything clear, and anything which might be a covering, e.g., a blue blanket, the sea, a giant roof, glass, a lake full of cotton, a gray ocean, smoke, an overturned bowl, etc. Do not credit heaven.",,
145,Figures Of Speech,FA3,The roar of the cannon was as loud as:,"<LLMEval>Acceptable answers include any noisy object or occurrence, e.g., sonic boom, explosion, thunder, train, a rocket blasting off, fireworks, a bomb exploding, a head-on collision, a Chinese gong, the roar of a lion, an engine backfiring, etc.Do not credit a gun.",,
146,Figures Of Speech,FA3,The smell of fresh bread was like:,"<LLMEval>Acceptable answers include anything which typically has a pleasant fragrance or has other pleasurable associations, e.g., spring, perfume, burnt leaves, roses, being back home, morning air, the beginning of a new day, a reminder of friends, ecstasy to the nose, the taste of good wine, a bouquet of flowers, an old memory, etc. Do not credit a bakery.",,
147,Figures Of Speech,FA3,The flowers smell as sweet as:,"<LLMEval>Acceptable answers include anything which typically has a pleasant fragrance, e.g., perfume, candy, honey, spring, etc. Do not credit the names of specific flowers.",,
148,Figures Of Speech,FA3,The fur was as soft as:,"<LLMEval>Acceptable answers include any object or material which does not have a harsh texture, e.g., silk, a feather, a cloud, a fresh marshmallow, baby's skin, velvet, etc. Do not credit a fur-bearing animal.",,
149,Figures Of Speech,FA3,The taste of the fruit was like:,"<LLMEval>Acceptable answers include anything typically sweet, tart, or sour, e.g., fine wine, honey, acid, bitter medicine, ambrosia, nectar, etc. Do not credit the names of specific fruits.",,
150,Figures Of Speech,FA3,The silence of the forest was like:,"<LLMEval>Acceptable answers include anything that is not noisy or which has quiet associations, e.g., the end of the world, death,a library, a morgue, a cemetary, a church, an undisturbed sleep, etc.",,
151,Figures Of Speech,FA3,The voice of the sea was like:,"<LLMEval>Acceptable answers include any object, person, or situation which is rhythmic or produces noise, e.g., thunder, the crash of a falling tree, the whisper of a lover, the roar of a crowd, a never-ending drumbeat, a caress, a crying child, a hammer, music, etc.",,
152,Making Sentences,FE1,L_*_*_F_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Looks like he fainted, Large but not fat, Lately we have failed, Life is a friend, Look at that face, Light can travel fast, Laughing is not funny, Life is really fantastic, Letters were mailed Friday, Large animals eat food, Land animals are furry, etc.",,
153,Making Sentences,FE1,T_*_*_H_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Thin but not huge, Tear down the house, The man was hated, The store was hospitable, They tried too hard, The girls are home, The boy ran home, Tomorrow I go home, Time can make hours, etc.",,
154,Making Sentences,FE1,S_*_A_*_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Shoot that awful animal, Some were already there, She ran away crying, Stop and ask her, She left after dinner, Someone is awful tired, She will arrive tomorrow, Silky girls are nice, Saturday is always fun, etc.",,
155,Making Sentences,FE1,*_F_W_*_T_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples ofacceptable responses are: This father was very thin, His frequent worries have terminated, His father went to town, Why fly with her tonight, My father went out Thursday, Leaves fall with autumn times, A fat watermelon ripened tonight, etc.",,
156,Making Sentences,FE1,S_*_*_E_*_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: She was going east today, She sold a1l except two, She was hardly ever there, Send me some envelopes quick, Send a boy every day, So who really even cares, Sugar pie is everybody's favorite, Stop before you enter buildings, etc.",,
157,Making Sentences,FE1,*_E_*_*_E_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: The eels swam around everywhere, The extra pay was enjoyed, She's even got an ear, Don't eat any wooden elephants, She enters my mind eventually, An earlybird spread an epidemic, Ten elephants ate twelve ears, etc.",,
158,Making Sentences,FE1,T_*_D_*_*_G_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Taking the dogs out seemed great, The boy's dog was almost grown, The weird dog has a gown, They went dashing towards the gate, To drink drinks is to guzzle, Tonight we'll dance again sweet girls, etc.",,
159,Making Sentences,FE1,*_F_L_*_G_P_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: His friend loved the green pen, The first little man got paranoid, I feel like a guarded prisoner, A frank lie shows good personality, To find lost people get policemen, etc.",,
160,Making Sentences,FE1,E_*_D_*_*_R_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Every other day we went riding, Early one day I gathered roses, Each man doesn't have a rifle, Electric energy derives from atomic research, Elegant evening dresses are becoming rare, etc.",,
161,Making Sentences,FE1,*_G_*_B_*_B_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: The girl and boy were bad, The garden was breathtaking and beautiful, When going out buy some bread, Every glad event brings memories back, etc.",,
162,Making Sentences,FE1,W_*_*_G_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Was it the ground, We all wore gloves, We believe in ghosts, Where did he go, why don't you go, What was the gain, Wooden turkeys taste good, Welcome to the gang, We left the gym, With help from God, etc.",,
163,Making Sentences,FE1,*_P_*_P_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: He picked up peaches, He photographed the planetarium, The pig was plump, His pride was painting, I paid my parents, My parents are people, Does practice make perfect, I protest all protests, etc.",,
164,Making Sentences,FE1,T_*_D_*_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: That was done yesterday, Three small deer leapt, Tigers have deadly claws, Take the dog out, Time is dead now, Tomorrow I die alive, Tomorrow is doing fine, The cat died once,To hold damage down, etc.",,
165,Making Sentences,FE1,T_*_I_*_*_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: That night's illusion came today, That is inspected every day, The old Indian was sad, Ten men in a boat, Take the idea to him, They ran inside the house, Today we indicated our choice, Today I insist we march, etc.",,
166,Making Sentences,FE1,S_L_*_*_L_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: She lost all her laundry, Some lions are very lazy, She loved to be lively, She looked at the lamp, She lent me some lipstick, So long my good lover, Soldiers live very short lives, Saturday's lunch is always late, etc.",,
167,Making Sentences,FE1,I_*_*_G_C_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Interviews were not granted customarily, Interesting stories make good conversation, It was ever growing colder, Important people keep gracious company, If someone shouts get clear, Independence is the government's constitution, etc.",,
168,Making Sentences,FE1,T_*_*_G_M_*_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: The old and grateful man died, The alligator will grow much more, Take out the garbage my dear, They met some girls Monday night, Tomorrow I will go marching again, Tomorrow there's a grand Majong tournament, etc.",,
169,Making Sentences,FE1,A_*_R_*_*_S_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Ants will readily eat any sweets, A bomb was rigged to explode secretly, Always take richaunts pleasant surprises, Aren't you ready to go swimming, etc.",,
170,Making Sentences,FE1,T_O_*_W_*_E_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: The other group went due east, Telephone operators often will wear earphones, The other day we rose early, Thin otters swim well and energetically, etc.",,
171,Making Sentences,FE1,Y_*_*_V_S_*_,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Examples of acceptable responses are: Your flowers smell very sweet today, Young children are very short usually, You're on the varsity school team, You should be very successful today, etc.",,
172,Arranging Words,FE2,SISTER YEAR NEVER CATCH,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Do not credit sentences which are alike except for one or two minor words (e.g·, This year my sister will never catch a man. Next year my sister will never catch a man). Do not credit sentences which use a different form of one of the specified words than is given (e.g., caught instead of catch).",,
173,Arranging Words,FE2,HAT FALSE TERRIBLY LIKE,"<LLMEval>Acceptable answers are any grammatically correct and complete sentences. Do not credit sentences which are alike except for one or two minor words (e.g·, This year my sister will never catch a man. Next year my sister will never catch a man). Do not credit sentences which use a different form of one of the specified words than is given (e.g., caught instead of catch).",,
174,Rewriting,FE3,"The heat of the summer was more seen than felt, making a gray smoky void where the valley used to be.","<LLMEval>Acceptable answers are sentences that have the same semantic meaning with this sentence: The heat of the summer was more seen than felt, making a gray smoky void where the valley used to be.",,
175,Rewriting,FE3,The liguid rays of sun spread across the desert filling the air with a glow of dancing dust.,<LLMEval>Acceptable answers are sentences that have the same semantic meaning with this sentence: The liguid rays of sun spread across the desert filling the air with a glow of dancing dust.,,
176,Rewriting,FE3,"After the gun was fired, the air was heavy with the smell of blood and powder fumes.","<LLMEval>Acceptable answers are sentences that have the same semantic meaning with this sentence: After the gun was fired, the air was heavy with the smell of blood and powder fumes.",,
177,Rewriting,FE3,From the flat red sea of sand rose great rocks resembling vast cathedrals.,<LLMEval>Acceptable answers are sentences that have the same semantic meaning with this sentence: From the flat red sea of sand rose great rocks resembling vast cathedrals.,,
178,Rewriting,FE3,"Everything about the man was hairy, from the beard and mop of curly hair to the dark patches smudging the backs of his hands.","<LLMEval>Acceptable answers are sentences that have the same semantic meaning with this sentence: Everything about the man was hairy, from the beard and mop of curly hair to the dark patches smudging the backs of his hands.",,
179,Rewriting,FE3,"The ice cream vendor drove slowly through the quiet streets, clanging his bell and watching the afternoon shadows lengthen.","<LLMEval>Acceptable answers are sentences that have the same semantic meaning with this sentence: The ice cream vendor drove slowly through the quiet streets, clanging his bell and watching the afternoon shadows lengthen.",,
180,Topics Test,FI1,A man going up a ladder,<LLMEval>Acceptable answers are any ideas about the topic: A man going up a ladder.,,
181,Topics Test,FI1,Crossing a stream,<LLMEval>Acceptable answers are any ideas about the topic: Crossing a stream.,,
182,Theme Test,FI2,A package,<LLMEval>Acceptable answers are any paragraphs about the theme: A package.,,
183,Theme Test,FI2,A locked door,<LLMEval>Acceptable answers are any paragraphs about the theme: A locked door.,,
184,Thing Categories Test,FI3,round,<LLMEval>Acceptable answers are any things that are always round or that are round more often.,,
185,Thing Categories Test,FI3,blue,<LLMEval>Acceptable answers are any things that are always blue or that are blue more often.,,
186,Word Ending Test,FW1,AY,<LLMEval>Acceptable answers are words that exist in common English.,,
187,Word Ending Test,FW1,OW,<LLMEval>Acceptable answers are words that exist in common English.,,
188,Word Beginnings Test,FW2,PRO,<LLMEval>Acceptable answers are words that exist in common English.,,
189,Word Beginnings Test,FW2,SUB,<LLMEval>Acceptable answers are words that exist in common English.,,
190,Word Beginnings And Endings Test,FW3,S;;P,<LLMEval>Acceptable answers are words that exist in common English.,,
191,Word Beginnings And Endings Test,FW3,G;;T,<LLMEval>Acceptable answers are words that exist in common English.,,
192,Letter Sets Test,I1,,A,QPPQ;;HGHH;;TTTU;;DDDE;;MLMM,
193,Letter Sets Test,I1,,D,BCDE;;FGHI;;JKLM;;PRST;;VWXY,
194,Letter Sets Test,I1,,D,BVZC;;FVZG;;JVZK;;PWXQ;;SVZT,
195,Letter Sets Test,I1,,C,BCEF;;FGIJ;;STWX;;CDFG;;PQST,
196,Letter Sets Test,I1,,B,BCCB;;GFFG;;LMML;;QRRQ;;WXXW,
197,Letter Sets Test,I1,,C,AAPP;;CCRR;;QQBB;;EETT;;DDSS,
198,Letter Sets Test,I1,,B,ABDC;;EGFH;;IJLK;;OPRQ;;UVXW,
199,Letter Sets Test,I1,,D,CERT;;KMTV;;FHXZ;;BODQ;;HJPR,
200,Letter Sets Test,I1,,E,PABQ;;SEFT;;VIJW;;COPD;;FUZG,
201,Letter Sets Test,I1,,D,CFCR;;JCVC;;CGCS;;CLXC;;KCWC,
202,Letter Sets Test,I1,,A,XDBK;;TNLL;;VEGV;;PFCC;;ZAGZ,
203,Letter Sets Test,I1,,D,CAEZ;;CEIZ;;CIOZ;;CGVZ;;CAUZ,
204,Letter Sets Test,I1,,A,VEBT;;XGDV;;ZIFX;;KXVH;;MZXJ,
205,Letter Sets Test,I1,,C,AFBG;;EJFK;;GKHM;;PSQT;;RWSX,
206,Letter Sets Test,I1,,C,KGDB;;DFIM;;KIFB;;HJMQ;;LHEC,
207,Letter Sets Test,I1,,E,ABCX;;EFGX;;IJKX;;OPQX;;UVWZ,
208,Letter Sets Test,I1,,B,LNLV;;DTFL;;CLNL;;HRLL;;LLWS,
209,Letter Sets Test,I1,,D,ABCE;;EFGI;;IJKM;;OPQT;;UVWY,
210,Letter Sets Test,I1,,C,GFFG;;DCCD;;STTS;;RQQR;;MLLM,
211,Letter Sets Test,I1,,D,DCDD;;HGHH;;MMLM;;QQQR;;WWVW,
212,Letter Sets Test,I1,,B,FEDC;;MKJI;;DCBA;;HGFE;;JIHG,
213,Letter Sets Test,I1,,B,BDBB;;BFDB;;BHBB;;BBJB;;BBLB,
214,Letter Sets Test,I1,,E,BDCE;;FHGI;;JLKM;;PRQS;;TVWU,
215,Letter Sets Test,I1,,E,BDEF;;FHIJ;;HJKL;;NPQR;;SVWX,
216,Letter Sets Test,I1,,E,NABQ;;PEFS;;RIJV;;GOPK;;CUWG,
217,Letter Sets Test,I1,,B,DEGF;;KLHJ;;NOQP;;PQSR;;TURS,
218,Letter Sets Test,I1,,A,AOUI;;CTZR;;JHTN;;PBRL;;RTVH,
219,Letter Sets Test,I1,,E,BEPW;;HJTX;;KNRZ;;KOSV;;WRPM,
220,Letter Sets Test,I1,,B,RRBR;;QQAR;;FTEF;;JXIJ;;SSCS,
221,Letter Sets Test,I1,,A,QIFB;;CGIJ;;BCOR;;ZRED;;JIFC,
